Emon Jubayer,value,Hasan Mahbub,value,Kandari Athorbo,value,MZI,value,Nir Shondhani,value,Tareque Anu,value
নিউ এজ মিউজিক,13,will they ever,8,শুরু হয়ে যায়,9,করতে হয় না,15,Dec 16 2011,7,হাজার বছর আগের,8
চোখ আটকে গেল,13,ভালো লাগছে না,8,আর যাই হোক,9,তা না হলে,15,ঘর থেকে বেরিয়ে,7,চুলু ওয়েস্ট জয়,8
মনে পড়ে গেল,13,যায় কী না,8,মনে হয় যেন,9,বলে আমার জানা,15,করা হয় না,6,সাথে দেখা হল,7
মনে হয় না,13,এক কাপ চা,8,হা হা হা,9,মনে হয় এই,14,ছবি তোলার জন্য,6,নেই বললেই চলে,7
কর্নেল ইকবাল মাহমুদ,13,গজগজ করতে করতে,8,আল্লাহ বলছেন আমি,9,করে দিতে হবে,14,অফিস থেকে ফিরে,6,বাংলাদেশ বার্ড ক্লাব,7
মোশতাক আন্দালিব বললেন,13,দেয়া যাবে না,8,হিসেবে কাজ করে,9,আমরা জানি না,14,করতে পারলো না,6,অনেক অনেক বছর,7
ইন্টারনেট তথ্যসূত্র http,12,করতে পারবে না,8,হতে পারে কিন্তু,9,হতে পারে আমি,14,হয়ে যেতে পারে,6,http www sachalayatan,7
http www mediafire,12,ভালো লাগে না,8,শুরু করে দেয়,9,কিছু হতে পারে,14,পা টিপে টিপে,6,www sachalayatan com,7
আমি চমকে উঠলাম,12,সে বুঝতে পারে,8,দেখে মনে হচ্ছে,9,এই দেশের ছেলেমেয়েদের,14,তার চেয়েও বেশী,6,ধারণা করা হয়,7
ছোট ছোট করে,12,তার সাথে আমার,8,রাশির ব্লগারদের জন্য,9,সবচেয়ে বড় কথা,14,করতে না পেরে,6,এই পোস্টটি তার,7
ফিসফিস করে বলল,12,করতে পারি না,7,মাস ব্লগটি মোট,9,প্রশ্ন ফাঁস হয়েছে,14,তৈরী করা হয়েছে,6,করতে পারে না,7
উত্তর না দিয়ে,12,দরকার ছিলো না,7,কথা না বলে,8,আমি এক ধরনের,14,আমরা জানি না,6,করতে পারে নি,7
www mediafire com,12,নিখিল বাংলাদেশ সাইকো,7,মনে হলো যেন,8,থেকে বের হয়ে,14,কিছুই জানি না,6,প্রকৃতি জীবন ফাউন্ডেশনের,7
অভ আহরিমান এর,12,করতে হবে না,7,storm Riders on,8,পরীক্ষার প্রশ্ন ফাঁস,13,পর দেখা গেল,6,হতে পারে না,7
ব্রিগেডিয়ার এস্তেমদাদ ওয়াজেদ,12,খুঁজে না পেয়ে,7,বছর মাস ব্লগটি,8,করতে হবে না,13,কিছু বলে না,6,পোস্টটি তার জন্য,7
১২ টা বেজে,12,মোম এবং সোমা,7,লিখেছেন বছর মাস,8,বলা যেতে পারে,13,দেখা যায় না,6,বি এম টি,7
ছোট করে ছাঁটা,11,ছিলো না আমার,7,ব্লগার স্বপ্নবাজ অভি,8,মাথা নিচু করে,13,দেখা যাচ্ছে না,6,টিকে থাকতে পারে,6
নো গ্রাউন্ড এর,11,পছন্দ করে না,7,সাথে করে নিয়ে,8,হয়ে যাওয়া প্রশ্ন,13,কয়েক বছর পর,6,জন্য সেই সাথে,6
সাত রাজার ধন,11,মনে করে যেন,7,বিশ্বাস করা হয়,8,না এই দেশের,13,কোন না কোন,6,থাকতে পারে না,6
হাজার বছর আগে,11,আর সেই সাথে,7,১৯ শে ডিসেম্বর,8,আমি মনে করি,13,ফিরে আসার সময়,6,আমার জীবনের আনন্দ,6
তানিয়া তাবাসসুম বলল,11,চোখ বন্ধ করে,7,ক্ষমা সুন্দর দৃষ্টিতে,8,মনে করিয়ে দিতে,13,ছাড়া আর কোন,6,আর সেই সাথে,6
শামসুদ্দীন ইলিয়াস শাহ,11,তার ওপর আবার,7,আর কিছুই নয়,8,দেশের বড় বড়,13,করতে শুরু করলো,6,কাল আবার দেখা,6
বাঙলা বাঙালি বাঙালীত্ব,11,মানে হয় না,7,আমার কাছ থেকে,8,কান পেতে রই,13,যাওয়া হলো না,6,sachalayatan com tareqanu,6
শান্ত আর ফারহান,11,আমাকে ছেড়ে চলে,7,বাংলা বিহার উড়িষ্যার,8,খুব আগ্রহ নিয়ে,12,সেন্টমার্টিন অভিযানঃ ১৯৯৪,6,বিলুপ্ত হয়ে গেছে,6
মোশতাক আন্দালিব এর,10,সাথে দেখা হয়ে,7,নাহি লাগে মোর,8,শুধু তা নয়,12,করতে হবে এবং,6,এই পোস্টটি আমার,6
অধ্যাপক মোশাররফ এর,10,বলতে পারে না,7,the storm Riders,8,আমার কথা বিশ্বাস,12,অফিস থেকে ফেরার,6,কাজী আনোয়ার হোসেনের,6
http www banglapedia,10,কোন সমস্যা নেই,7,রোজার শেষে এলো,7,রক্ষা করার জন্য,12,কি করতে হবে,6,এম টি সি,6
banglapedia org HT,10,চিৎকার করে ওঠে,7,করে নিতে হবে,7,কোনো না কোনো,12,কিছু না বলে,6,কোটি বছর আগে,6
চিৎকার করে উঠল,10,কী এসে যায়,6,হোক না কেন,7,শক্তি কেন্দ্র তৈরি,12,শুধু তাই না,6,অনেক বছর ধরে,5
দেখতে পেলাম না,10,হয়ে গেছে এখন,6,নারী শিশু নির্যাতন,7,অনুমান করতে পারি,12,কোন শব্দ নেই,5,কাজী আনোয়ার হোসেন,5
চুপ করে রইল,10,আমাকে জড়িয়ে ধরে,6,আমার দিকে তাকিয়ে,7,বড় ভাই হুমায়ূন,12,আমি মনে মনে,5,লক্ষ বছর আগে,5
কিনা কে জানে,10,জানি না তবে,6,প্রকাশ করা হয়,7,মন খারাপ করা,12,চেয়ে অনেক বেশী,5,এই ভেবে যে,5
www banglapedia org,10,উপায় ছিলো না,6,বলা হয়ে থাকে,7,আমি জানি এই,12,করা গেল না,5,বিশেষ করে তার,5
তাজউদ্দীন আহমদ এর,10,পারে না তার,6,করা হয় যে,7,আমি নিজের চোখে,11,চলবে নীড় সন্ধানী,5,করা হয় নি,5
কুকুটেনি ট্রাইপিলিয়ানস সংস্কৃতি,10,তারা একে অপরের,6,কাজী নজরুল ইসলাম,7,কিন্তু এই দেশের,11,কিছু না বলা,5,জ্য পল সাত্রের,5
প্রফেসর আশরাফি বললেন,10,থাকতে পারে না,6,চোখ বন্ধ করে,7,আমার খুব ইচ্ছে,11,কয়েক বছর আগে,5,সবচেয়ে বেশি দেখা,5
হতে পারে না,10,সাথে কথা বলার,6,দেখে নেয়া যাক,7,দেশের মানুষের কাছে,11,না হওয়া পর্যন্ত,5,প্রতিষ্ঠাতা ইনাম আল,5
ড্রুসাস দ্য ইয়াংঙ্গার,10,সময় নষ্ট করার,6,একটা সিগারেট ধরালাম,7,সবাইকে মনে করিয়ে,11,ঠিক হবে না,5,শতাব্দীর পর শতাব্দী,5
গাউসুল আজম মাইজভান্ডারী,9,কী না কী,6,আমার জানা নেই,7,খুঁজে বের করে,11,যা বোঝার বুঝে,5,বিবর্তনের পথ ধরে,5
আজম মাইজভান্ডারী খুইলাছে,9,ভালো ঘুম হয়,6,ইস্ট ইন্ডিয়া কোম্পানি,7,বুঝতে পারছি না,11,করার কেউ নেই,5,লর্ড অফ দ্য,5
মনে করেন যে,9,বলা যেতে পারে,6,আমি একটা সিগারেট,7,জানি এই দেশের,11,নিকষ কালো অন্ধকার,5,দাঁত বাহির করে,5
আমি এখন যাই,9,হবে না তার,6,চা আর সিগারেট,7,আমার দিকে তাকিয়ে,11,এপ্রিল ২০০৯ সেন্টমার্টিন,5,অনেক অনেক বার,5
মারা যাওয়ার পর,9,ইচ্ছে করে না,6,মাথা গুঁজে দিয়ে,7,শেষ হওয়ার পর,11,সাথে কথা বলে,5,সোম বাহাদুর তামাং,5
আজীজ সিকদার এর,9,ঠিক হয়ে যাবে,6,ব্লগ লিখেছেনঃ সপ্তাহ,6,পাবলিক পরীক্ষার কথা,11,আমার দিকে তাকিয়ে,5,এখনো টিকে আছে,5
প্রত্নতাত্ত্বিক ক্লাউস স্মিডস,9,একটু একটু করে,6,এক কাপ কফি,6,না কিন্তু আমি,11,না বলা কথা,5,হা হা হা,5
আবিদ আলী বললেন,9,ছিলো না আমি,6,কোন কারণ নেই,6,হতে পারে কিন্তু,11,মানে হয় না,5,করা সম্ভব হয়,5
ধক করে উঠল,9,না তাই আমি,6,করা হয় কিন্তু,6,সমন্বিত ভর্তি পরীক্ষা,11,কেউ ছিল না,5,বলা হয়ে থাকে,5
বোঝা গেল না,9,হবে কী না,6,once you re,6,মনে না করে,11,ঘুম আসে না,5,ছিল না কিন্তু,5
মনে হল না,9,কেমন যেন অস্বস্তি,6,মারা যাওয়ার পর,6,না আমি জানি,11,তার মুখ দিয়ে,5,কিং সলোমনস রিং,5
তাঁর বঙ্গে স্বূফী,9,ঠিক হবে না,6,শুরু করে দিয়েছে,6,পরীক্ষার প্রশ্নপত্র ফাঁস,11,বাড়ি ফেরার সময়,5,সম্ভব হয় নি,5
হক তাঁর বঙ্গে,9,করতে পারবো না,6,সাথে কথা বলে,6,করিয়ে দিতে চাই,11,হয়ে উঠতে পারে,5,বাকী পর্বগুলো এইখানে,5
দিন কয়েক আগে,9,all the young,6,করা হয়ে থাকে,6,করতে শুরু করেছে,11,আছে সে চায়,5,লুৎফর রহমান রিটন,5
রাবুমামা চুপ করে,9,করতে পারে নি,6,ঈসা আঃ এর,6,করা যেতে পারে,10,ইচ্ছে করে না,5,জীবনে প্রথমবারের মত,5
তার কারণ আছে,9,কোন উপায় নেই,6,৫ম বাংলা ব্লগ,6,একজন একজন করে,10,নেয়া যায় না,5,সবচেয়ে বড় কথা,5
এনামুল হক তাঁর,9,সাদা ঔষধ কালো,6,রমজানের রোজার শেষে,6,দিনের পর দিন,10,আমার কাছ থেকে,5,মিশন নাগাল্যান্ড মিশন,5
০০০ বছর আগে,8,নিজের মত করে,6,করা সম্ভব নয়,6,বিশ্ববিদ্যালয়ের ভর্তি পরীক্ষা,10,করে দিতে পারে,5,চোখ বন্ধ করে,5
স্মরণজিৎ চক্রবর্তী বললেন,8,কী না তা,6,কথা না বাড়িয়ে,6,খবরের কাগজে দেখেছি,10,হতেই পারে না,5,কেবলই দৃশ্যের জন্ম,5
সাংখ্য তন্ত্র যোগ,8,হতে পারে সে,6,মাথা নত করে,6,না আমার ধারণা,10,থেকে ফেরার পথে,5,ইনাম আল হককে,5
বলে রাবুমামা চুপ,8,খুব একটু ভালো,6,মেষ রাশির ব্লগারদের,6,হত্যা করা হয়েছে,10,বোঝার উপায় নেই,5,মিলিয়ন বছর আগে,5
আমি কী বলব,8,হবে না আমার,6,ta love your,6,এই দেশের সব,10,হো করে হেসে,5,আরও অনেক অনেক,5
শেষ হল না,8,থেকে বের হবার,6,মন রমজানের রোজার,6,খুব বড় একটা,10,গুটি গুটি পায়ে,5,বছরের পর বছর,5
চোখ কানা ফাত্তাহ,8,আমার কাছ থেকে,6,নয় দশ বছরের,6,নিজের চোখে দেখেছি,10,জানে না কিন্তু,5,ধরে চলে আসা,5
এর আগে কখনও,8,করতে পারি নি,6,তুমি কি আমার,6,যেন মনে না,10,করতে না পারার,5,হয়েছে বাংলার নামে,5
মনে করা হয়,8,একদিন না একদিন,6,কথা শোনার পর,6,না আমাদের দেশে,10,যে কোন একটা,5,মুসা ইব্রাহীমের এভারেস্ট,5
অদৃশ্য হয়ে গেল,8,হয় না আমার,6,সচেতন হতে হবে,6,দেখে মনে হয়,10,পাওয়া যায় না,5,তবু কেবলই দৃশ্যের,5
অগাস্টাস সিজার এর,8,খুঁজে পাচ্ছি না,6,কোন উপায় নেই,6,নিয়ে আমার ভেতরে,10,হঠাৎ মনে হলো,5,years in prison,5
টেবিলের ওপর একটা,8,ধীরে ধীরে তার,6,এলো খুশির ঈদ,6,ফাঁস হওয়া প্রশ্ন,10,অনেক বছর পর,5,থেকে ফেরার পথে,5
বলে চুপ করে,8,কাজ করছে না,6,লেবু দিয়ে মাংস,6,ঘর থেকে বের,10,২০০৯ সেন্টমার্টিন অভিযানঃ,5,না বটে কিন্তু,5
দ্বিতীয় বায়োজিদ এর,8,কোন কারণ নেই,5,করে রাখা হয়েছে,6,এত বড় একটা,10,পাশের দোকান থেকে,5,অনেক বছর আগে,5
নাক বোচা টনি,8,কথা হয় না,5,কোটি ৫০ লাখ,6,সে রকম কিছু,10,১৫ আগষ্ট ১৯৭৫,5,না বললেই চলে,5
মহানবী হযরত মোহাম্মদ,8,every one When,5,you re mine,6,এই দেশের অনেক,10,দরোজা বন্ধ করে,5,নাগাল্যান্ড মিশন কামাখ্যা,5
১২০০০ বছর আগে,8,কোন সন্দেহ নেই,5,খুব আয়েশ করে,6,না কিন্তু এই,10,জানালা দিয়ে বাইরে,5,পাখি পর্যবেক্ষণ এবং,4
অনার্য দেবতা শিব,8,one When will,5,লিখেছেনঃ মাস দিন,6,হয়ে থাকে তাহলে,10,দিতে পারে না,5,জানা ছিল না,4
কথা শেষ হল,8,একটার পর একটা,5,বাংলা ব্লগ দিবসের,6,আমার মনে হলো,10,স্বাধীন বাংলা বেতার,5,এই সিরিজের বাকী,4
বুক ধক করে,8,দেখা হয়ে গেলো,5,ঈদের আগের রাতে,6,এবং আমার স্ত্রী,10,জানি না তবে,4,দেখা মেলে না,4
বলে রাখি যে,8,সাথে দেখা করতে,5,ছাড়া অন্য কোন,6,আমার সোনার বাংলা,10,পার হয়ে গেছে,4,in Eastern Bengal,4
তথ্যসূত্র http www,7,জন্যে অপেক্ষা করে,5,যোগ দেখা যাচ্ছে,6,করা হয় তখন,10,বাংলা বেতার কেন্দ্রের,4,সন্ধান পাওয়া যায়,4
হাছন রাজার গান,7,পারে না তাই,5,love your man,6,বলে মনে হয়,10,শেষ হয় না,4,করে নানা ধরনের,4
আমার উস্তাদ জামশেদ,7,আমার কেন যেন,5,শেষে এলো খুশির,6,কথা মনে আছে,10,ইচ্ছে করছে না,4,অনেক অনেক ধন্যবাদ,4
ডাউনলোড লিঙ্ক http,7,সাথে কথা বলে,5,ইন ব্লগ বাঁধ,5,কেউ যেন মনে,10,আমি বিশ্বাস করি,4,সদ্য পড়া বই,4
বলে মনে করা,7,দিতে পারে না,5,দিনের পর দিন,5,তারা এই দেশের,9,বলতে পারবে না,4,ছিল না তাই,4
এত বছর পর,7,সত্যি কথা বলতে,5,খুব ভাল ভাবেই,5,ভাইস মার্শাল কে,9,বাদে আর কারো,4,অনেক অনেক বেশী,4
একটা সিগারেট ধরালাম,7,চুল কাটা শেষ,5,ভোর হয়ে এলো,5,ভর্তি পরীক্ষা নিতে,9,কয়েক মিনিট পর,4,যাত্রা শুরু হয়,4
কুকুটেনি ট্রাইপিলিয়ানস সংস্কৃতির,7,মনে হয় আমি,5,আমার মাথায় হাত,5,আমি জিজ্ঞেস করলাম,9,করতে আসা লোকজন,4,মাঝে মাঝে মনে,4
বলল ওই যে,7,দেরী হয়ে গেছে,5,ব্লগার তন্ময় ফেরদৌস,5,এই প্রশ্নের উত্তর,9,চলতে শুরু করলো,4,দৃশ্যের জন্ম হয়,4
টি শেপড মেগালিথ,7,পাশের রুম থেকে,5,করে দিতে হবে,5,এইচ এস সি,9,হাজার হাজার মানুষ,4,পেজ থেকে নেওয়া,4
স্বূফী প্রভাব বইয়ে,7,Long time ago,5,সিট্রাস আইসড সুইট,5,কাজ করে যাচ্ছে,9,দিয়ে যাবার সময়,4,নজরে আসে না,4
বলল আমার নাম,7,কাঁধে হাত রেখে,5,করা হয় এবং,5,বিশ্ববিদ্যালয় মিলে একটি,9,মাথা নীচু করে,4,সাথে দেখা করতে,4
শায়লা আন্টি বললেন,7,বুঝতে পারে না,5,শীতবস্ত্র বিতরণ কার্যক্রম,5,আমি আর আমার,9,দেয়ালে পিঠ ঠেকে,4,চুলু ওয়েস্ট পর্বত,4
অবাক হয়ে যায়,7,হয়ে ওঠে না,5,উপর নির্ভর করে,5,করার চেষ্টা করা,9,গুলি করে মেরে,4,সাথে সাথে তার,4
কুকুটেনি ট্রাইপিলিয়ানস যুগের,7,চাল কালো অবহেলা,5,সমস্যা দেখা দিতে,5,দিতে পারি না,9,দেখা গেল না,4,হিসেবে ব্যবহার করে,4
টেবিলের ওপর থেকে,7,আমার মনে হয়,5,আয়োজন করা হয়েছে,5,এস এম এস,9,করতে পারলাম না,4,কেন কে জানে,4
আমি অবাক হয়ে,7,time passing Where,5,সোনা গাজীর বাড়ি,5,দেশের সব মানুষ,9,এক লাখ টাকা,4,ওল্ড ম্যান অ্যান্ড,4
প্রথম পর্বের লিঙ্ক,7,কি আমার হবে,5,দিকে তাকিয়ে আছে,5,থেকে বের করে,9,আগষ্ট ১৯৭৫ ভোর,4,যাত্রা শুরু করে,4
এখানেই বলে রাখি,7,Long time passing,5,সাথে দেখা করতে,5,এয়ার ভাইস মার্শাল,9,যাবার পর থেকে,4,বলতে পারে না,4
মুখে খোঁচা খোঁচা,7,মোম এবং সোমার,5,ঈদ উল আযহা,5,বেশ কয়েক বছর,9,ঘুম ভেঙ্গে গেল,4,যাত্রা শুরু হবে,4
জগতের আদি কারণ,7,বাংলাদেশ সাইকো সমিতি,5,নাচ দেখে মুগ্ধ,5,প্রশ্ন ফাঁস নিয়ে,9,জানে না সে,4,করার জন্য সেই,4
প্রফেসর আশরাফি কে,7,আমি জানতাম না,5,সময় নষ্ট করে,5,সেক্টর কমান্ডারস ফোরামের,9,গাড়ি কিনলে খরচ,4,যে কোন মুহূর্তে,4
তা কিন্তু নয়,7,passing Where have,5,শেষ স্বাধীন নবাব,5,টাকা খরচ করে,9,হতে পারবে না,4,পরদিন কাক ভোরে,4
গায়ের রং শ্যামলা,7,তো দূরের কথা,5,আকাশের দিকে তাকিয়ে,5,নিজের চোখে দেখেও,9,এসে জড়িয়ে ধরে,4,সাথে কথা বলার,4
দিকে তাকিয়ে বললেন,7,না জানি না,5,সিংহ রাশির ব্লগারদের,5,ভর্তি পরীক্ষা নিয়ে,9,হয়ে যেতে ইচ্ছে,4,চার বেড়ালের রেস্তোরাঁয়,4
লিঙ্ক http www,7,ছিলো না সে,5,তিনি বিশ্বাস করেন,5,কথা মনে পড়ে,9,বড় হবার পর,4,ব্যবহার করা হয়েছিল,4
উপায় ছিল না,7,মানুষ হাসছে না,5,আমরা জানি যে,5,করার চেষ্টা করি,9,দিকে তাকিয়ে আছে,4,আমরা জানতে পারি,4
আমি অবাক হলাম,7,কোন দরকার নেই,5,হতে শুরু করে,5,কোনো তুলনা নেই,9,১৫ আগষ্ট থেকে,4,Smooth coated Otter,4
আমি জিজ্ঞেস করলাম,7,সাদা ঔষধ সাদা,5,মন্ত্রী কুসুম কুমারীর,5,জন্য অপেক্ষা করে,9,বেশী হবে না,4,কথা খুব মনে,4
চিৎকার করে ওঠে,7,আর কিছু নেই,5,তৈরি করা হয়েছে,5,একটি ভর্তি পরীক্ষা,9,মজার ব্যাপার হলো,4,see the rooms,4
ইন্ডিয়ার প্রেসিডেন্ট হইছে,7,কিন্তু আমি তো,5,ব্লগার অন্যমনস্ক শরৎ,5,অনেক বড় বড়,9,করতে পারছি না,4,আর কী লাগে,4
আমার মনে হল,7,করে না তবে,5,মোহাম্মদ সাঃ এর,5,কিন্তু তার পরও,9,হাতে সময় কম,4,খুঁজে বাহির করা,4
গোবেকলি টেপে তে,6,দিকে তাকিয়ে থাকে,5,একজন বীমা কর্মকর্তা,5,করে ফেলতে পারে,9,শেষ হবার পর,4,ব্যবহার করা হয়েছে,4
স্পেস গার্ডেন এর,6,না কেন সে,5,বেঁচে থাকার জন্য,5,কথা বলতে বলতে,9,পারলো না সে,4,থেকে যাত্রা শুরু,4
নদীর পাড় ঘেঁষে,6,তার সাথে কথা,5,ঠিক একই ভাবে,5,জননী জাহানারা ইমামের,9,বুঝতে পারলো না,4,বিশেষ করে মহিলাদের,4
মনে হল তবে,6,আমি মনে মনে,5,বরাদ্দ রাখা হয়েছে,5,করতে পারব না,9,না কিন্তু সে,4,ছিল না এবং,4
স্বূফী প্রভাব পৃষ্ঠা,6,এমন না যে,5,খেয়াল রাখতে হবে,5,কথা বলতে কি,9,সিগারেট বের করে,4,Thats the Bird,4
মনে করা হত,6,ago Where have,5,ওয়ান ওয়ার্ল্ড অর্ডার,5,পরীক্ষা নেওয়া হয়,9,তাকিয়ে আছে আমি,4,এবং মাঝে মাঝে,4
আমার মায়ের মুখে,6,তবে তার আগে,5,বাঁধ ভাঙার আওয়াজ,5,ভেতর দিয়ে যেতে,9,আমি চোখ বন্ধ,4,ছিল বিশেষ করে,4
টা বেজে মিনিটে,6,শেষ হয়ে যায়,5,সামহোয়্যার ইন ব্লগ,5,মনে হতে পারে,9,তিন বছর ধরে,4,কালাম মোহাম্মদ জাকারিয়ার,4
খুইলাছে হই হই,6,যাবে কী না,5,হতে পারে না,5,খুব মন খারাপ,9,সে জানে না,4,শুধু তাই না,4
চৌ মিং থাং,6,তা কী করে,5,কোন শেয়ারের দাম,5,বুঝতে পারি না,9,করে নেমে গেল,4,কোন অজানা কারণে,4
হোক না কেন,6,হতে থাকে সে,5,একটু একটু করে,5,ভেতরে এক ধরনের,9,চায় না সে,4,না বিশেষ করে,4
এয়ার ভাইস মার্শাল,6,করতে না পেরে,5,খুব শখ করে,5,সঙ্গে কথা বলে,9,না যাই হোক,4,মনে করা হত,4
