Abdul Gaffar,value,Emon Jubayer,value,Nir Shondhani,value,MZI,value,Tareque Anu,value,Wasim Faruk,value,Abu Hena Md Ashraful Islam,value,Kandari Athorbo,value,Hasan Mahbub,value,Mahi Rahi,value,Niyaz Morshed,value
পারে না , 59,হয় না , 50,মাঝে মাঝে , 60,জানি না , 106,হতে পারে , 63,আর সেই , 38,কথা বলতে , 49,সামহোয়্যার ইন , 51,আমার কাছে , 74,দিকে তাকিয়ে , 50,না কিন্তু , 33
না তাই , 54,না আমি , 49,কাছ থেকে , 60,আমার কাছে , 105,দেখা যায় , 63,সেই সাথে , 38,না আমি , 47,করা হয়েছে , 50,না তার , 70,হয়ে উঠে , 47,মনে হয় , 33
বৈজ্ঞানিক নাম , 53,তানিয়া তাবাসসুম , 49,হতে পারে , 57,আমি জানি , 101,অনেক অনেক , 62,বেগম খালেদা , 35,মাঝে মাঝে , 46,ছিল না , 48,তার সাথে , 67,হয় না , 46,ইউনিভার্সিটি অব , 33
লম্বা হয় , 47,তাজউদ্দীন আহমদ , 49,করতে হবে , 54,হঠাৎ করে , 100,শুরু হল , 59,হতে পারে , 34,হলো না , 45,লিখেছেনঃ মাস , 46,পারে না , 64,করা হয়েছে , 45,কী করে , 31
না কিন্তু , 46,জোছনা বানু , 48,আর কোন , 53,আমার মনে , 98,যাত্রা শুরু , 58,কোন ভাবেই , 34,হবে না , 44,হয় এবং , 45,না আর , 60,মনে হল , 45,হয় না , 31
বের হয় , 46,বলল আমি , 48,হলো না , 52,পারে না , 97,নামের এক , 58,করতে হবে , 34,না না , 44,হয়ে গেছে , 44,ধীরে ধীরে , 60,শুরু করল , 45,যে কোন , 30
মনে হলো , 45,মোশতাক আন্দালিব , 48,যাবে না , 51,পারি না , 97,হয়ে যায় , 58,পর এক , 33,সাথে সাথে , 44,হবে না , 43,সে তার , 60,ছিল না , 44,দেখা যায় , 29
হবে না , 43,আয়েন উদ্দীন , 47,না আমি , 50,করা হয় , 94,সবচেয়ে বেশী , 56,একের পর , 32,করতে করতে , 43,হয়ে যায় , 43,করতে থাকে , 59,মাঝে মাঝে , 42,আবেদন করতে , 29
যায় না , 40,পারে না , 46,করে না , 50,বড় বড় , 94,হয় না , 56,আমাদের স্বাধীনতা , 31,সাথে আমার , 41,মাস সপ্তাহ , 42,না তবে , 59,শুরু করে , 41,মাঝে মাঝে , 28
করতে পারে , 40,করে বলল , 46,করার জন্য , 49,ভর্তি পরীক্ষা , 90,আজ পর্যন্ত , 54,এর পর , 30,হয় না , 41,যে কোন , 41,করে না , 59,নবীজি সা , 39,সব সময় , 28
বিশেষ করে , 37,বের করে , 46,শুরু করলো , 48,আমাদের দেশে , 90,এর মাঝে , 54,বিশেষ করে , 30,থেকে বেরিয়ে , 40,ধীরে ধীরে , 41,করার জন্যে , 58,শেষ পর্যন্ত , 38,কথা বলে , 27
হয়ে যায় , 37,হয়ে যায় , 46,শুরু করে , 47,পারবে না , 88,কি করে , 51,করে আসছে , 29,করে বললো , 40,বলা হয় , 40,হয়ে ওঠে , 57,বলা হয় , 36,করতে পারে , 26
মনে হয় , 36,লাল রঙের , 46,দেখা গেল , 47,করা হয়েছে , 87,দেখা মিলল , 51,তথা কথিত , 29,আব্দুর রহমান , 40,আঃ এর , 40,না সে , 55,দেখা যায় , 35,বের করে , 26
জানি না , 36,যায় না , 44,জানে না , 46,করতে হবে , 85,মনে পড়ে , 48,খালেদা জিয়ার , 29,বার বার , 39,হয়ে থাকে , 39,জানি না , 54,মনে করে , 35,ডাবলিন আয়ারল্যান্ড , 25
হয়ে গেল , 36,মনে করে , 44,দিকে তাকিয়ে , 46,করার জন্যে , 84,বিশ্বের সবচেয়ে , 46,আমাদের মহান , 29,করার পর , 39,বিশেষ করে , 38,করা যায় , 53,করতে গিয়ে , 35,গোল করে , 25
শুরু করে , 35,প্রোফেসর আশরাফি , 43,করা যায় , 45,কেমন করে , 83,পাওয়া যায় , 46,কাছ থেকে , 28,পর থেকে , 39,মনে হচ্ছে , 38,হতে থাকে , 52,হয়ে যায় , 34,হয়ে যায় , 25
বসে আছে , 35,হবে না , 43,না এই , 44,দেশের মানুষ , 81,ইনাম আল , 46,শুরু করে , 28,করার জন্য , 39,করে এবং , 37,করতে হবে , 51,হয়ে থাকে , 33,মনে হচ্ছে , 24
একটা করে , 35,ধীরে ধীরে , 43,থাকে না , 42,যায় না , 80,থেকে শুরু , 45,না কোন , 28,না কিন্তু , 38,পাওয়া যায় , 37,আমি জানি , 51,বগা মাহমুদ , 33,করতে শুরু , 24
থাকে না , 34,জিজ্ঞেস করল , 43,মনে হয় , 42,হয়ে গেছে , 80,হয়ে গেল , 45,জঙ্গি সংগঠন , 28,এক সপ্তাহ , 36,দেখা যায় , 36,আর কী , 50,বলা হয়েছে , 33,শুরু করেছে , 24
বললাম আমি , 34,খান মোহাম্মদ , 42,কি করে , 42,করতে পারে , 80,বেশ কিছু , 45,নতুন করে , 27,করে বললেন , 35,হয়ে যাবে , 36,কে জানে , 50,হয়ে গেছে , 33,করার জন্যে , 24
ফুট পর্যন্ত , 34,বলে মনে , 42,না সে , 41,বের করে , 79,সবচেয়ে বড় , 45,হয় নি , 26,দিকে তাকিয়ে , 35,কাজ করে , 36,এই যে , 50,বসে থাকে , 33,এপ্রিল ২০১২ , 24
ইঞ্চি লম্বা , 33,অবাক হয়ে , 42,না বলে , 41,আমরা সবাই , 77,তার সাথে , 44,মনে হয় , 26,কাছ থেকে , 34,বের হয়ে , 36,করতে গিয়ে , 49,মনে করেন , 33,আমার কাছে , 24
সাথে সাথে , 33,তা হলে , 41,হবার পর , 40,তা নয় , 76,করা হয়েছে , 44,এমন কি , 25,আর একটা , 34,ঈসা আঃ , 35,বলা যায় , 49,যা কিনা , 32,শুরু করলো , 24
খুব বেশি , 33,কথা মনে , 41,না আমার , 40,করতে পারি , 75,দেখা হল , 43,শেখ হাসিনা , 25,ছিঃ ছিঃ , 34,আমার সাথে , 35,যাবে না , 48,তার কাছে , 32,হতে যাচ্ছে , 24
পারলাম না , 33,জিজ্ঞেস করে , 40,শুরু করেছে , 40,করতে হয় , 72,দেখা গেল , 43,মন্ত্রী শেখ , 25,সাথে কথা , 34,হত্যা করা , 35,করতে পারে , 48,দেয়া হয় , 32,তার উপর , 24
পাওয়া যায় , 32,ভালো লাগে , 40,না আর , 39,হয়ে যায় , 71,এই নিয়ে , 43,হাত থেকে , 24,বন্ধ করে , 34,এই মুহূর্তে , 35,আর আমি , 48,আরো বেশি , 31,বের হয়ে , 24
হে হে , 31,রত্না আপু , 40,পারছি না , 39,শুরু করে , 70,বছর ধরে , 43,হবে না , 23,শুরু করে , 34,রাশির ব্লগারদের , 34,না এই , 48,ধীরে ধীরে , 31,সবচেয়ে বড় , 23
করে না , 30,চিৎকার করে , 39,দেখা যাচ্ছে , 39,না আমার , 70,শুরু হয় , 42,হতে হয় , 23,কে জানে , 34,শুরু হয় , 34,বের করে , 48,শুরু করেছে , 31,এক সময় , 23
বের করে , 30,রাহাত কবির , 39,হয়ে যাবে , 38,না তাই , 69,বছর আগে , 42,কোন না , 22,আর এক , 33,আমি আর , 34,হয়ে যাবে , 47,কিছু না , 30,বন্ধ করে , 23
করা হয় , 29,হয়ে গেছে , 39,যাবার পর , 38,সবচেয়ে বড় , 69,কথা বলে , 41,জামাত শিবির , 22,তাদের জন্য , 33,এর মধ্যে , 34,তাই না , 47,হাসিব সাহেব , 30,না কেন , 23
ছোট ছোট , 29,সঙ্গে কথা , 39,সাথে সাথে , 38,ছিল না , 68,চোখে পড়ল , 41,জীবন দিতে , 22,সব সময় , 32,করেন এবং , 33,কথা বলতে , 47,আমাদের দেশের , 29,অন্য দিকে , 23
বলে মনে , 29,আমি আর , 38,বন্ধ করে , 38,সেটা নিয়ে , 68,করার জন্য , 41,বর্তমান সরকারের , 22,রি পোস্ট , 32,মনে করেন , 32,আমি আর , 47,করা হত , 28,হয়ে গিয়েছে , 23
উঁচু করে , 28,হাঁটতে হাঁটতে , 37,কেউ নেই , 37,আমার ধারণা , 68,দখল করে , 40,যে কোন , 21,চলে যায় , 32,কি করে , 32,তার কাছে , 47,না আমি , 28,করে নি , 23
সবুজ রঙের , 28,মনে পড়ল , 37,পারবে না , 37,শেষ পর্যন্ত , 68,মনে হচ্ছে , 40,পর থেকে , 21,না বলে , 32,দেখা যায় , 32,এখন আর , 46,হতে পারে , 28,পারে নি , 22
জাতীয় উদ্ভিদ , 28,নীল রঙের , 37,মনে হলো , 37,না এই , 67,প্রথমবারের মত , 39,না কেন , 21,ডাক্তার সাহেব , 32,আমি আমার , 32,শুরু করে , 46,কিছুদিন আগে , 27,এক সাথে , 22
এই সিরিজের , 28,সাদা রঙের , 37,আর কেউ , 37,সে রকম , 67,দেখা যায় , 38,তা নিয়ে , 21,বাবর আলীর , 32,করতে পারে , 31,কিছু একটা , 45,এই বলে , 27,কেউ কেউ , 22
কথা মনে , 28,বড় বড় , 37,বের করে , 36,কাজ করে , 66,না হয় , 38,উগ্র ধর্মীয় , 21,খালেক ভাই , 32,সব কিছু , 31,না কেন , 44,যে কোন , 27,না এই , 22
ভেতর থেকে , 28,সেলিনা মলি , 37,দিতে হবে , 35,দেশের মানুষের , 64,পর এক , 38,বিরোধী দলীয় , 21,ফোন করে , 32,জিয়াউর রহমান , 30,দিকে তাকিয়ে , 44,বের করে , 27,যায় না , 22
