 ,Emon Jubayer,Hasan Mahbub,Kandari Athorbo,MZI,Nir Shondhani,Tareque Anu
হয়ে গেলো,0,44,0,0,0,0
কেউ কেউ,0,0,0,0,35,0
অবাক হয়ে,40,0,0,0,0,0
বের করে,35,51,0,82,36,0
কাজ করে,0,0,48,66,0,26
আমি জানি,0,44,0,113,0,0
অন্য কোন,0,0,27,0,0,0
আমার কাছে,0,90,56,111,0,26
একটা সিগারেট,0,0,30,0,0,0
থেকে শুরু,0,0,0,0,0,37
করার জন্য,33,0,61,150,49,42
করা হয়,45,0,95,100,0,34
মঙ্গল ভট্টারক,32,0,0,0,0,0
সে রকম,0,0,0,71,0,0
যাচ্ছে না,0,0,0,0,32,0
কাছ থেকে,0,83,79,0,60,27
থাকে না,0,0,0,0,42,0
পারবে না,0,37,0,96,37,0
মনে হচ্ছে,0,39,43,0,29,40
খবরের কাগজে,0,0,0,63,0,0
আর আমি,0,47,0,0,0,0
বের হয়ে,0,0,42,58,0,0
এর সঙ্গে,39,0,0,0,0,0
করতে পারি,0,0,0,82,0,0
ইন ব্লগ,0,0,36,0,0,0
আর এই,0,0,33,0,0,0
না কিন্তু,0,42,0,114,106,53
অভ নো,57,0,0,0,0,0
দিতে হবে,0,0,30,58,35,0
করা হলো,0,0,0,0,29,0
দিকে তাকিয়ে,44,43,36,61,46,0
জিজ্ঞেস করল,34,0,0,0,0,0
এক ধরনের,0,0,0,124,0,0
আমার খুব,0,0,0,58,0,0
না করে,0,39,29,62,33,0
যায় না,35,84,0,81,64,28
জানা গেল,0,0,0,0,0,28
তার কাছে,0,44,32,0,0,0
প্রফেসর আশরাফি,105,0,0,0,0,0
কে জানে,0,42,0,0,0,0
শুরু করে,0,42,84,73,47,57
কী যেন,41,0,0,0,0,0
হতে থাকে,0,52,0,0,0,0
আমি তোমার,0,0,28,0,0,0
আমার মনে,0,0,0,103,0,0
কিছু একটা,0,44,0,64,0,0
অধ্যাপক মোশাররফ,77,0,0,0,0,0
সাথে সাথে,0,0,30,0,38,76
সাথে দেখা,0,0,0,0,0,37
করা হয়েছে,0,0,0,0,0,36
দেখা মিলল,0,0,0,0,0,43
বলে মনে,68,0,30,0,0,0
হল না,46,0,0,0,0,0
না তার,0,75,0,0,0,0
মন খারাপ,0,0,0,62,0,0
না এই,0,49,0,73,44,0
শেষ পর্যন্ত,0,0,0,71,0,0
সেটা নিয়ে,0,0,0,70,0,0
খুব বেশি,0,42,0,0,0,0
এখন আর,0,46,34,0,0,0
ছিল না,73,0,26,75,128,106
সেখান থেকে,0,0,32,0,0,42
কুকুটেনি ট্রাইপিলিয়ানস,37,0,0,0,0,0
করে সে,0,42,0,0,0,0
না তবু,0,0,0,0,33,0
সেই সাথে,0,0,0,0,0,172
করা হল,0,0,0,0,0,30
এই যে,0,58,0,0,0,0
করতে হয়,0,0,0,76,28,0
পাওয়া যায়,0,0,45,0,0,28
হয় না,58,120,0,155,94,32
মনে মনে,0,0,0,0,63,0
