Abdul Gaffar,value,Tareque Anu,value,Nir Shondhani,value,Abu Hena Md Ashraful Islam,value,Niyaz Morshed,value,Kandari Athorbo,value,Emon Jubayer,value,MZI,value,Hasan Mahbub,value
পারে না , 59,হতে পারে , 63,কাছ থেকে , 60,কথা বলতে , 49,এমন কি , 33,সামহোয়্যার ইন , 51,হয় না , 50,জানি না , 106,না আমার , 82
না তাই , 54,দেখা যায় , 63,মাঝে মাঝে , 60,না আমি , 47,পারে না , 33,করা হয়েছে , 50,না আমি , 49,আমার কাছে , 105,আমার কাছে , 74
বৈজ্ঞানিক নাম , 53,অনেক অনেক , 62,হতে পারে , 57,মাঝে মাঝে , 46,মনে হয় , 33,ছিল না , 48,তাজউদ্দীন আহমদ , 49,আমি জানি , 101,না তার , 69
লম্বা হয় , 47,শুরু হল , 59,করতে হবে , 54,হলো না , 45,হয় না , 31,লিখেছেনঃ মাস , 46,তানিয়া তাবাসসুম , 49,হঠাৎ করে , 100,তার সাথে , 67
না কিন্তু , 46,হয়ে যায় , 58,আর কোন , 53,না না , 44,কী করে , 31,হয় এবং , 45,মোশতাক আন্দালিব , 48,আমার মনে , 98,পারে না , 64
বের হয় , 46,নামের এক , 58,হলো না , 52,হবে না , 44,যে কোন , 30,হয়ে গেছে , 44,বলল আমি , 48,পারি না , 97,সে তার , 60
মনে হলো , 45,যাত্রা শুরু , 58,যাবে না , 51,সাথে সাথে , 44,দেখা যায় , 29,হবে না , 43,জোছনা বানু , 48,পারে না , 97,ধীরে ধীরে , 60
হবে না , 43,হয় না , 56,করে না , 50,করতে করতে , 43,আবেদন করতে , 29,হয়ে যায় , 43,আয়েন উদ্দীন , 47,বড় বড় , 94,করে না , 59
করতে পারে , 40,সবচেয়ে বেশী , 56,করার জন্য , 49,হয় না , 41,সব সময় , 28,মাস সপ্তাহ , 42,লাল রঙের , 46,করা হয় , 94,না তবে , 59
যায় না , 40,আজ পর্যন্ত , 54,না আমি , 48,সাথে আমার , 41,মাঝে মাঝে , 28,ধীরে ধীরে , 41,হয়ে যায় , 46,আমাদের দেশে , 90,না আর , 59
হয়ে যায় , 37,এর মাঝে , 54,শুরু করলো , 48,করে বললো , 40,কথা বলে , 27,যে কোন , 41,বের করে , 46,ভর্তি পরীক্ষা , 90,করতে থাকে , 59
বিশেষ করে , 37,কি করে , 51,শুরু করে , 47,থেকে বেরিয়ে , 40,করতে পারে , 26,আঃ এর , 40,পারে না , 46,পারবে না , 88,করার জন্যে , 58
জানি না , 36,দেখা মিলল , 51,দেখা গেল , 47,আব্দুর রহমান , 40,বের করে , 26,বলা হয় , 40,করে বলল , 46,করা হয়েছে , 87,`` আমি , 57
মনে হয় , 36,মনে পড়ে , 48,জানে না , 46,করার জন্য , 39,গোল করে , 25,হয়ে থাকে , 39,মনে করে , 44,করতে হবে , 85,হয়ে ওঠে , 57
হয়ে গেল , 36,পাওয়া যায় , 46,দিকে তাকিয়ে , 46,করার পর , 39,ডাবলিন আয়ারল্যান্ড , 25,বিশেষ করে , 38,যায় না , 44,করার জন্যে , 84,না সে , 55
বসে আছে , 35,ইনাম আল , 46,করা যায় , 45,বার বার , 39,হয়ে যায় , 25,মনে হচ্ছে , 38,ধীরে ধীরে , 43,কেমন করে , 83,জানি না , 54
শুরু করে , 35,বিশ্বের সবচেয়ে , 46,না এই , 42,পর থেকে , 39,করার জন্যে , 24,করে এবং , 37,হবে না , 43,দেশের মানুষ , 81,করা যায় , 53
একটা করে , 35,হয়ে গেল , 45,কি করে , 42,না কিন্তু , 38,আমার কাছে , 24,পাওয়া যায় , 37,প্রোফেসর আশরাফি , 43,হয়ে গেছে , 80,হতে থাকে , 52
থাকে না , 34,থেকে শুরু , 45,মনে হয় , 42,এক সপ্তাহ , 36,শুরু করলো , 24,বের হয়ে , 36,জিজ্ঞেস করল , 43,করতে পারে , 80,আমি জানি , 51
ফুট পর্যন্ত , 34,সবচেয়ে বড় , 45,থাকে না , 42,করে বললেন , 35,বের হয়ে , 24,দেখা যায় , 36,বলে মনে , 42,যায় না , 80,করতে হবে , 51
বললাম আমি , 34,বেশ কিছু , 45,না সে , 41,দিকে তাকিয়ে , 35,তার উপর , 24,কাজ করে , 36,খান মোহাম্মদ , 42,বের করে , 79,এই যে , 50
খুব বেশি , 33,করা হয়েছে , 44,না বলে , 41,কে জানে , 34,করতে শুরু , 24,হয়ে যাবে , 36,অবাক হয়ে , 42,আমরা সবাই , 77,আর কী , 50
পারলাম না , 33,তার সাথে , 44,শুরু করেছে , 40,কাছ থেকে , 34,হতে যাচ্ছে , 24,আমার সাথে , 35,কথা মনে , 41,তা নয় , 76,কে জানে , 50
সাথে সাথে , 33,দেখা হল , 43,হবার পর , 40,বন্ধ করে , 34,এপ্রিল ২০১২ , 24,ঈসা আঃ , 35,তা হলে , 41,করতে পারি , 75,বলা যায় , 49
ইঞ্চি লম্বা , 33,দেখা গেল , 43,না আমার , 40,আর একটা , 34,মনে হচ্ছে , 24,হত্যা করা , 35,জিজ্ঞেস করে , 40,করতে হয় , 72,করতে গিয়ে , 49
পাওয়া যায় , 32,এই নিয়ে , 43,দেখা যাচ্ছে , 39,সাথে কথা , 34,শুরু করেছে , 24,এই মুহূর্তে , 35,ভালো লাগে , 40,হয়ে যায় , 71,বের করে , 48
হে হে , 31,বছর ধরে , 43,না আর , 39,ছিঃ ছিঃ , 34,করে নি , 23,শুরু হয় , 34,রত্না আপু , 40,শুরু করে , 70,করতে পারে , 48
করে না , 30,শুরু হয় , 42,পারছি না , 39,শুরু করে , 34,সবচেয়ে বড় , 23,এর মধ্যে , 34,হয়ে গেছে , 39,না আমার , 70,যাবে না , 48
বের করে , 30,বছর আগে , 42,বন্ধ করে , 38,আর এক , 33,এক সময় , 23,রাশির ব্লগারদের , 34,চিৎকার করে , 39,সবচেয়ে বড় , 69,আর আমি , 48
বলে মনে , 29,করার জন্য , 41,সাথে সাথে , 38,তাদের জন্য , 33,হয়ে গিয়েছে , 23,আমি আর , 34,রাহাত কবির , 39,না তাই , 69,কথা বলতে , 47
করা হয় , 29,চোখে পড়ল , 41,যাবার পর , 38,সব সময় , 32,না কেন , 23,করেন এবং , 33,সঙ্গে কথা , 39,ছিল না , 68,না এই , 47
ছোট ছোট , 29,কথা বলে , 41,হয়ে যাবে , 38,ফোন করে , 32,বন্ধ করে , 23,কি করে , 32,আমি আর , 38,শেষ পর্যন্ত , 68,তাই না , 47
জাতীয় উদ্ভিদ , 28,দখল করে , 40,পারবে না , 37,না বলে , 32,অন্য দিকে , 23,দেখা যায় , 32,মনে পড়ল , 37,সেটা নিয়ে , 68,তার কাছে , 47
ভেতর থেকে , 28,মনে হচ্ছে , 40,কেউ নেই , 37,ডাক্তার সাহেব , 32,কেউ কেউ , 22,মনে করেন , 32,সাদা রঙের , 37,আমার ধারণা , 68,আমি আর , 47
উঁচু করে , 28,প্রথমবারের মত , 39,আর কেউ , 37,চলে যায় , 32,এক সাথে , 22,আমি আমার , 32,নীল রঙের , 37,না এই , 67,হয়ে যাবে , 47
এই সিরিজের , 28,জানা গেল , 38,মনে হলো , 37,খালেক ভাই , 32,পারে নি , 22,করতে পারে , 31,সেলিনা মলি , 37,সে রকম , 67,শুরু করে , 46
কথা মনে , 28,কাছ থেকে , 38,বের করে , 36,বাবর আলীর , 32,যায় না , 22,সব কিছু , 31,হাঁটতে হাঁটতে , 37,কাজ করে , 66,`` এই , 46
পাতার রং , 28,না হয় , 38,দিতে হবে , 35,রি পোস্ট , 32,না এই , 22,জিয়াউর রহমান , 30,বড় বড় , 37,দেশের মানুষের , 64,এখন আর , 46
